cell_id,cafe,pharmacy,restaurant,supermarket,avg_rating,avg_reviews,population_sum,population_mean,activity_vibrancy,quality_gap
0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.1,0.0,2.0
1,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.46,0.0,2.0
2,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.53,0.0,2.0
3,0.0,0.0,0.0,0.0,0.0,0.0,237.0,8.17,0.0,2.0
4,0.0,0.0,0.0,0.0,0.0,0.0,134.0,4.47,0.0,2.0
5,0.0,0.0,0.0,0.0,0.0,0.0,156.0,5.21,0.0,2.0
6,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.46,0.0,2.0
9,0.0,0.0,0.0,0.0,0.0,0.0,154.0,8.56,0.0,2.0
10,0.0,0.0,0.0,0.0,0.0,0.0,131.0,3.63,0.0,2.0
11,0.0,0.0,0.0,0.0,0.0,0.0,234.0,7.79,0.0,2.0
12,0.0,0.0,0.0,2.0,2.15,1.5,902.0,25.06,0.9162907318741551,2.611428585841342
13,0.0,1.0,0.0,1.0,4.65,13.5,422.0,11.72,2.6741486494265287,0.9359520272992841
14,0.0,1.0,0.0,0.0,1.5,2.0,253.0,7.03,1.0986122886681096,3.8451430103383837
15,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.19,0.0,2.0
16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3,0.0,2.0
17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11,0.0,2.0
18,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.17,0.0,2.0
19,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.55,0.0,2.0
20,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.42,0.0,2.0
21,0.0,0.0,0.0,0.0,0.0,0.0,417.0,13.9,0.0,2.0
22,0.0,3.0,0.0,11.0,3.0285714285714285,7.071428571428571,1126.0,31.28,2.088330489097082,4.116994392791391
23,0.0,1.0,0.0,1.0,4.25,15.0,479.0,13.29,2.772588722239781,2.0794415416798357
24,0.0,4.0,0.0,6.0,3.69,16.6,724.0,20.12,2.8678989020441064,3.7569475616777797
25,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.31,0.0,2.0
26,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.16,0.0,2.0
27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,2.0
28,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.26,0.0,2.0
29,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.58,0.0,2.0
30,1.0,0.0,0.0,0.0,5.0,2.0,82.0,2.29,1.0986122886681096,0.0
31,0.0,0.0,0.0,1.0,4.5,4.0,357.0,11.91,1.6094379124341003,0.8047189562170501
32,0.0,1.0,0.0,2.0,2.5,31.33333333333333,754.0,20.93,3.476098689835273,8.690246724588182
33,1.0,1.0,0.0,2.0,3.35,6.0,531.0,14.76,1.9459101490553132,3.2107517459412667
34,0.0,0.0,0.0,2.0,2.15,3.0,677.0,18.82,1.3862943611198906,3.9509389291916883
35,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.91,0.0,2.0
36,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.34,0.0,2.0
37,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.09,0.0,2.0
39,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.16,0.0,2.0
40,2.0,1.0,1.0,4.0,2.9375,3.25,541.0,15.45,1.4469189829363254,2.984270402306171
41,9.0,4.0,4.0,3.0,4.05,15.35,898.0,24.94,2.794227897343262,2.6545165024760995
42,1.0,1.0,0.0,3.0,3.34,2.6,715.0,23.84,1.2809338454620645,2.1263501834670273
43,0.0,0.0,0.0,4.0,2.15,34.25,333.0,9.24,3.5624655292582776,10.153026758386092
44,0.0,1.0,1.0,4.0,2.8000000000000003,6.333333333333333,397.0,11.02,1.992430164690206,4.383346362318453
45,0.0,0.0,0.0,1.0,3.9,8.0,524.0,14.55,2.1972245773362196,2.4169470350698417
46,0.0,1.0,0.0,1.0,4.55,7.0,126.0,3.49,2.0794415416798357,0.9357486937559265
47,0.0,1.0,0.0,0.0,5.0,4.0,18.0,0.61,1.6094379124341003,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.22,0.0,2.0
50,3.0,3.0,1.0,6.0,2.4692307692307693,29.615384615384617,660.0,26.41,3.421502647822901,8.659033624105648
51,9.0,2.0,2.0,2.0,3.3266666666666667,7.933333333333334,953.0,31.78,2.1897895988487015,3.6642479287401604
52,5.0,8.0,5.0,20.0,3.294736842105263,45.39473684210526,1057.0,42.3,3.8371860226714842,6.54341195445032
53,0.0,0.0,0.0,0.0,0.0,0.0,170.0,5.87,0.0,2.0
54,1.0,1.0,0.0,2.0,3.55,7.5,186.0,6.21,2.1400661634962708,3.103095937069593
55,0.0,2.0,0.0,0.0,4.55,10.0,233.0,7.76,2.3978952727983707,1.0790528727592672
56,0.0,0.0,0.0,2.0,4.5,3.0,127.0,4.24,1.3862943611198906,0.6931471805599453
57,0.0,1.0,0.0,0.0,4.3,566.0,15.0,0.61,6.340359303727752,4.438251512609427
58,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.41,0.0,2.0
60,9.0,2.0,4.0,5.0,2.34,4.5,585.0,20.88,1.7047480922384253,4.534629925354212
61,9.0,3.0,4.0,5.0,3.3,16.857142857142858,833.0,23.15,2.882403588246988,4.90008610001988
62,3.0,2.0,1.0,3.0,1.8333333333333333,3.888888888888889,1048.0,34.94,1.5869650565820417,5.0253893458431325
63,0.0,0.0,0.0,0.0,0.0,0.0,443.0,12.29,0.0,2.0
64,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1.65,0.0,2.0
65,3.0,2.0,1.0,0.0,4.55,79.16666666666667,128.0,3.67,4.384107800877707,1.9728485103949687
66,0.0,0.0,0.0,0.0,0.0,0.0,91.0,2.54,0.0,2.0
67,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.15,0.0,2.0
68,1.0,0.0,0.0,0.0,4.1,126.0,46.0,1.28,4.844187086458591,4.359768377812734
69,1.0,0.0,0.0,0.0,3.7,33.0,9.0,0.47,3.5263605246161616,4.584268682001009
70,2.0,0.0,0.0,2.0,1.75,8.0,370.0,13.7,2.1972245773362196,7.140979876342714
71,11.0,7.0,4.0,5.0,3.4444444444444446,28.296296296296298,1323.0,36.74,3.3774611017633247,5.253828380520726
72,2.0,1.0,0.0,1.0,2.675,9.75,554.0,18.47,2.374905754573672,5.521655879383788
73,0.0,1.0,0.0,1.0,4.550000000000001,8.5,601.0,16.7,2.2512917986064953,1.0130813093729212
74,1.0,0.0,0.0,0.0,4.3,632.0,660.0,18.34,6.450470422144176,4.5153292955009245
75,10.0,4.0,9.0,9.0,3.928125,22.59375,1014.0,28.17,3.1609818464492982,3.3881774166628413
76,4.0,4.0,2.0,2.0,4.583333333333333,63.333333333333336,734.0,20.39,4.164077900236776,1.7350324584319912
77,2.0,0.0,1.0,0.0,4.566666666666666,23.33333333333333,48.0,1.73,3.1918471524802814,1.3831337660747893
78,0.0,0.0,0.0,1.0,0.0,0.0,265.0,7.36,0.0,2.0
79,5.0,0.0,2.0,0.0,4.185714285714286,220.14285714285717,71.0,2.54,5.398808905094359,4.3961729655768345
81,1.0,0.0,0.0,0.0,4.3,8.0,390.0,11.8,2.1972245773362196,1.5380572041353542
82,2.0,3.0,1.0,6.0,3.7,41.083333333333336,1373.0,38.13,3.7396517794873594,4.861547313333567
83,2.0,2.0,1.0,7.0,2.1750000000000003,18.166666666666668,1204.0,40.14,2.953172659135195,8.342712762056927
